"filename","subject","date","time","tot_num_trials","tot_num_free","tot_num_fd","tot_num_fi","tot_forced_trials","events_before_center","events_before_center_fd","events_before_center_fi","events_before_center_tot","events_before_choice","events_before_choice_fd","events_before_choice_fi","events_before_choice_tot","events_during_to","events_during_to_fd","events_during_to_fi","events_during_to_tot"
"./Ship3_Latin-square/2019-08-24_12h55m_Subject 47754.txt","47754",2019-08-24,"12:55",61,46,10,5,15,121,18,18,157,72,47,5,124,160,0,32,192
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 46894.txt","46894",2019-08-24,"13:00",83,60,10,13,23,105,11,41,157,57,24,25,106,761,137,142,1040
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47088.txt","47088",2019-08-24,"13:00",76,56,10,10,20,86,18,11,115,82,21,35,138,319,55,60,434
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47228.txt","47228",2019-08-24,"13:00",79,56,10,13,23,81,13,22,116,116,16,25,157,573,114,142,829
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47243.txt","47243",2019-08-24,"13:00",27,19,8,0,8,40,40,0,80,10,10,0,20,85,50,0,135
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47249.txt","47249",2019-08-24,"13:00",79,60,5,14,19,133,16,15,164,129,13,34,176,469,18,151,638
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47639.txt","47639",2019-08-24,"13:00",80,60,12,8,20,179,14,10,203,80,39,44,163,744,113,108,965
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47758.txt","47758",2019-08-24,"13:00",86,60,12,14,26,73,10,8,91,40,25,67,132,652,71,239,962
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47759.txt","47759",2019-08-24,"13:00",79,60,7,12,19,78,16,12,106,74,11,32,117,498,70,122,690
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47776.txt","47776",2019-08-24,"13:00",81,60,6,15,21,66,6,7,79,83,21,54,158,756,64,227,1047
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47799.txt","47799",2019-08-24,"13:00",79,60,10,9,19,54,6,6,66,96,47,10,153,449,59,104,612
"./Ship3_Latin-square/2019-08-24_14h03m_Subject 46892.txt","46892",2019-08-24,"14:03",83,60,8,15,23,62,5,15,82,29,9,16,54,623,77,163,863
"./Ship3_Latin-square/2019-08-24_14h03m_Subject 47099.txt","47099",2019-08-24,"14:03",81,60,10,11,21,108,24,15,147,129,78,71,278,572,69,138,779
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 46893.txt","46893",2019-08-24,"14:20",82,60,8,14,22,84,9,11,104,81,11,40,132,856,117,238,1211
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47638.txt","47638",2019-08-24,"14:20",68,51,8,9,17,149,50,14,213,95,37,120,252,447,54,69,570
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47757.txt","47757",2019-08-24,"14:20",64,47,10,7,17,118,30,18,166,85,52,20,157,354,80,70,504
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47769.txt","47769",2019-08-24,"14:20",79,60,8,11,19,63,6,16,85,68,19,26,113,892,103,188,1183
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47782.txt","47782",2019-08-24,"14:20",79,60,10,9,19,48,8,6,62,17,5,22,44,683,65,116,864
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47788.txt","47788",2019-08-24,"14:20",82,60,7,15,22,90,12,9,111,70,11,37,118,360,39,123,522
"./Ship3_Latin-square/2019-08-24_15h15m_Subject 47080.txt","47080",2019-08-24,"15:15",82,60,10,12,22,62,14,16,92,81,24,12,117,536,86,117,739
"./Ship3_Latin-square/2019-08-25_10h51m_Subject 47229.txt","47229",2019-08-25,"10:51",78,60,6,12,18,99,29,8,136,157,65,46,268,699,62,160,921
"./Ship3_Latin-square/2019-08-25_11h07m_Subject 47250.txt","47250",2019-08-25,"11:07",78,57,11,10,21,168,86,9,263,33,26,77,136,618,94,117,829
"./Ship3_Latin-square/2019-08-25_11h56m_Subject 47754.txt","47754",2019-08-25,"11:56",66,50,8,8,16,169,19,4,192,57,17,11,85,313,31,58,402
"./Ship3_Latin-square/2019-08-25_11h56m_Subject 47800.txt","47800",2019-08-25,"11:56",71,52,12,7,19,113,15,16,144,94,30,20,144,381,74,39,494
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 46894.txt","46894",2019-08-25,"12:23",80,60,8,12,20,66,10,10,86,28,14,5,47,527,69,144,740
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47088.txt","47088",2019-08-25,"12:23",80,60,3,17,20,59,3,13,75,131,8,113,252,567,34,132,733
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47228.txt","47228",2019-08-25,"12:23",83,60,10,13,23,71,8,11,90,70,16,17,103,583,103,167,853
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47243.txt","47243",2019-08-25,"12:23",33,24,8,1,9,48,13,21,82,142,71,4,217,264,65,0,329
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47249.txt","47249",2019-08-25,"12:23",81,60,6,15,21,104,12,15,131,162,29,83,274,540,55,152,747
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47639.txt","47639",2019-08-25,"12:23",76,60,7,9,16,41,5,10,56,41,11,20,72,829,81,142,1052
