"filename","subject","date","time","delay","tot_num_trials","tot_num_free","tot_num_fd","tot_num_fi","tot_forced_trials","events_before_center","events_before_center_fd","events_before_center_fi","events_before_center_tot","events_before_choice","events_before_choice_fd","events_before_choice_fi","events_before_choice_tot","events_during_to","events_during_to_fd","events_during_to_fi","events_during_to_tot","avg_rxn_time_free","avg_choice_rxn_time_free","avg_timeout_dur_free","avg_collection_time_free","avg_events_before_collect_imm","avg_events_before_collect_del","events_before_collect_tot","percent_reward_collected"
"./Ship3_Latin-square/2019-08-24_12h55m_Subject 47754.txt","47754",2019-08-24,"12:55",24,61,46,10,5,15,121,18,18,157,72,47,5,124,160,0,32,192,2201.5,355.826086956522,1986.62222222222,2038.44444444444,42,49,91,97.8723404255319
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 46894.txt","46894",2019-08-24,"13:00",4,83,60,10,13,23,105,11,41,157,57,24,25,106,761,137,142,1040,617.566666666667,294.916666666667,2776.16949152542,938.338983050847,11,43,54,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47088.txt","47088",2019-08-24,"13:00",8,76,56,10,10,20,86,18,11,115,82,21,35,138,319,55,60,434,1221.10714285714,286.910714285714,2578.14545454545,912.892857142857,21,25,46,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47228.txt","47228",2019-08-24,"13:00",4,79,56,10,13,23,81,13,22,116,116,16,25,157,573,114,142,829,865.839285714286,538.892857142857,2774.54545454545,1447.07272727273,60,125,185,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47243.txt","47243",2019-08-24,"13:00",4,27,19,8,0,8,40,40,0,80,10,10,0,20,85,50,0,135,3680.77777777778,308.055555555556,2977.72222222222,612,238,0,238,26.3157894736842
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47249.txt","47249",2019-08-24,"13:00",8,79,60,5,14,19,133,16,15,164,129,13,34,176,469,18,151,638,893.883333333333,261.033333333333,2498.23728813559,835.28813559322,28,16,44,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47639.txt","47639",2019-08-24,"13:00",4,80,60,12,8,20,179,14,10,203,80,39,44,163,744,113,108,965,822.666666666667,339.283333333333,2816.86440677966,1137.8813559322,46,79,125,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47758.txt","47758",2019-08-24,"13:00",8,86,60,12,14,26,73,10,8,91,40,25,67,132,652,71,239,962,336.783333333333,184.233333333333,2552.49152542373,1002.83050847458,38,15,53,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47759.txt","47759",2019-08-24,"13:00",8,79,60,7,12,19,78,16,12,106,74,11,32,117,498,70,122,690,586.233333333333,290.933333333333,2525.37288135593,1117.22033898305,20,28,48,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47776.txt","47776",2019-08-24,"13:00",4,81,60,6,15,21,66,6,7,79,83,21,54,158,756,64,227,1047,384.5,244.116666666667,2742.35593220339,936.101694915254,25,31,56,100
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47799.txt","47799",2019-08-24,"13:00",8,79,60,10,9,19,54,6,6,66,96,47,10,153,449,59,104,612,562.366666666667,300.716666666667,2606.69491525424,569.220338983051,32,32,64,100
"./Ship3_Latin-square/2019-08-24_14h03m_Subject 46892.txt","46892",2019-08-24,"14:03",8,83,60,8,15,23,62,5,15,82,29,9,16,54,623,77,163,863,532.416666666667,164.366666666667,2538.96610169492,1108.91525423729,24,42,66,100
"./Ship3_Latin-square/2019-08-24_14h03m_Subject 47099.txt","47099",2019-08-24,"14:03",8,81,60,10,11,21,108,24,15,147,129,78,71,278,572,69,138,779,687.366666666667,334.266666666667,2593.18644067797,1025.05084745763,34,63,97,100
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 46893.txt","46893",2019-08-24,"14:20",4,82,60,8,14,22,84,9,11,104,81,11,40,132,856,117,238,1211,441.533333333333,335.183333333333,2769.47457627119,1009.96610169492,21,89,110,100
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47638.txt","47638",2019-08-24,"14:20",4,68,51,8,9,17,149,50,14,213,95,37,120,252,447,54,69,570,1228.01960784314,353.823529411765,2796.03921568627,1278.66666666667,22,92,114,100
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47757.txt","47757",2019-08-24,"14:20",8,64,47,10,7,17,118,30,18,166,85,52,20,157,354,80,70,504,1922.02173913043,405.478260869565,2634.71739130435,1650.33333333333,73,92,165,97.8723404255319
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47769.txt","47769",2019-08-24,"14:20",4,79,60,8,11,19,63,6,16,85,68,19,26,113,892,103,188,1183,306.2,258.866666666667,2783.01694915254,907.305084745763,36,21,57,100
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47782.txt","47782",2019-08-24,"14:20",8,79,60,10,9,19,48,8,6,62,17,5,22,44,683,65,116,864,357.966666666667,132.733333333333,2620.27118644068,882.474576271186,21,10,31,100
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47788.txt","47788",2019-08-24,"14:20",8,82,60,7,15,22,90,12,9,111,70,11,37,118,360,39,123,522,648.8,253.05,2498.30508474576,1671.74137931034,58,60,118,98.3606557377049
