"filename","subject","date","time","avg_rxn_time_free","avg_choice_rxn_time_free"
"./Ship3_Latin-square/2019-08-24_12h55m_Subject 47754.txt","47754",2019-08-24,"12:55",2201.5,355.826086956522
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 46894.txt","46894",2019-08-24,"13:00",617.566666666667,294.916666666667
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47088.txt","47088",2019-08-24,"13:00",1221.10714285714,286.910714285714
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47228.txt","47228",2019-08-24,"13:00",865.839285714286,538.892857142857
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47243.txt","47243",2019-08-24,"13:00",3680.77777777778,308.055555555556
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47249.txt","47249",2019-08-24,"13:00",893.883333333333,261.033333333333
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47639.txt","47639",2019-08-24,"13:00",822.666666666667,339.283333333333
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47758.txt","47758",2019-08-24,"13:00",336.783333333333,184.233333333333
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47759.txt","47759",2019-08-24,"13:00",586.233333333333,290.933333333333
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47776.txt","47776",2019-08-24,"13:00",384.5,244.116666666667
"./Ship3_Latin-square/2019-08-24_13h00m_Subject 47799.txt","47799",2019-08-24,"13:00",562.366666666667,300.716666666667
"./Ship3_Latin-square/2019-08-24_14h03m_Subject 46892.txt","46892",2019-08-24,"14:03",532.416666666667,164.366666666667
"./Ship3_Latin-square/2019-08-24_14h03m_Subject 47099.txt","47099",2019-08-24,"14:03",687.366666666667,334.266666666667
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 46893.txt","46893",2019-08-24,"14:20",441.533333333333,335.183333333333
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47638.txt","47638",2019-08-24,"14:20",1228.01960784314,353.823529411765
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47757.txt","47757",2019-08-24,"14:20",1922.02173913043,405.478260869565
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47769.txt","47769",2019-08-24,"14:20",306.2,258.866666666667
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47782.txt","47782",2019-08-24,"14:20",357.966666666667,132.733333333333
"./Ship3_Latin-square/2019-08-24_14h20m_Subject 47788.txt","47788",2019-08-24,"14:20",648.8,253.05
"./Ship3_Latin-square/2019-08-24_15h15m_Subject 47080.txt","47080",2019-08-24,"15:15",371.25,485.066666666667
"./Ship3_Latin-square/2019-08-25_10h51m_Subject 47229.txt","47229",2019-08-25,"10:51",408.216666666667,585.716666666667
"./Ship3_Latin-square/2019-08-25_11h07m_Subject 47250.txt","47250",2019-08-25,"11:07",894.929824561404,181.947368421053
"./Ship3_Latin-square/2019-08-25_11h56m_Subject 47754.txt","47754",2019-08-25,"11:56",2121.65306122449,328.224489795918
"./Ship3_Latin-square/2019-08-25_11h56m_Subject 47800.txt","47800",2019-08-25,"11:56",1598.90384615385,452.5
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 46894.txt","46894",2019-08-25,"12:23",590.016666666667,141.983333333333
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47088.txt","47088",2019-08-25,"12:23",649.066666666667,336.25
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47228.txt","47228",2019-08-25,"12:23",492.033333333333,307.55
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47243.txt","47243",2019-08-25,"12:23",630.208333333333,8752.66666666667
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47249.txt","47249",2019-08-25,"12:23",653.525423728814,474.220338983051
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47639.txt","47639",2019-08-25,"12:23",198.066666666667,187.75
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47758.txt","47758",2019-08-25,"12:23",296.283333333333,389.616666666667
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47759.txt","47759",2019-08-25,"12:23",364.366666666667,282.6
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47776.txt","47776",2019-08-25,"12:23",162.333333333333,195.516666666667
"./Ship3_Latin-square/2019-08-25_12h23m_Subject 47799.txt","47799",2019-08-25,"12:23",464.586206896552,488.51724137931
"./Ship3_Latin-square/2019-08-25_13h05m_Subject 46888.txt","46888",2019-08-25,"13:05",319.75,304.35
"./Ship3_Latin-square/2019-08-25_13h05m_Subject 46892.txt","46892",2019-08-25,"13:05",182.983333333333,398.05
"./Ship3_Latin-square/2019-08-25_13h05m_Subject 47099.txt","47099",2019-08-25,"13:05",190.516666666667,259.016666666667
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 46893.txt","46893",2019-08-25,"13:37",195.333333333333,177.15
"./Ship3_Latin-square/2019-08-25_13h37m_Subject 47638.txt","47638",2019-08-25,"13:37",1089.15254237288,215.305084745763
